synonym,correlation_strength
New-age music,0.2655746176013012
Music,0.16694573410080166
Piano,0.16613747623329872
Keyboard (musical),0.1398416662573929
Electric piano,0.1289275208256881
Ding,0.03559273693265759
"Inside, large room or hall",0.022515004766327007
Television,0.020128551277417493
Gasp,0.014595292404071545
Sidetone,0.014097646422868653
Clang,0.012006795702511081
Sigh,0.004181399437441714
"Inside, small room",0.002243155620500109
"Burping, eructation",0.0007161595182676509
"Female speech, woman speaking",0.0006974815936022568
Speech,0.00061412532856846
"Telephone dialing, DTMF",0.000590933535816066
Dial tone,0.0004851385488202304
"Chuckle, chortle",0.0004469294568999921
"Beep, bleep",0.0003939035982972553
"Narration, monologue",0.0003849737408670475
"Outside, urban or manmade",0.0003696045265472115
Snicker,0.0003611546384229243
Laughter,0.0003352466331847521
Telephone,0.00033418365505552517
Clicking,0.0003213166193374138
Writing,0.00025721576834752675
Musical instrument,0.0002524192861165412
Conversation,0.00023335647664352797
Radio,0.0001590265705806024
Speech synthesizer,0.0001436838500696643
"Male speech, man speaking",0.0001155490722775519
