synonym,correlation_strength
Dial tone,0.7282993143396724
"Burping, eructation",0.17426080408962438
Radio,0.049290057852889965
Snicker,0.014553738487872055
Laughter,0.008909561330130442
Speech,0.0029738911510859296
"Inside, small room",0.0024434702521796254
Sidetone,0.0023061237558637004
"Telephone dialing, DTMF",0.001969426086984527
Musical instrument,0.0018106444037538038
Ding,0.0015514092950400557
Music,0.0014986243532694456
Clicking,0.0014763770119575678
"Male speech, man speaking",0.001402588140620366
Television,0.0008645229322394814
Speech synthesizer,0.000706768908674819
Gasp,0.0006062468127365696
Telephone,0.0005625185932040617
Sigh,0.0005596963757846533
Writing,0.0005168659116349448
Clang,0.0005067504369563183
Keyboard (musical),0.00048404545619313736
Conversation,0.0004516300043245717
New-age music,0.00044809083968948835
"Narration, monologue",0.0004124576734467614
Piano,0.0002923823771357993
"Chuckle, chortle",0.00022592619763595707
"Outside, urban or manmade",0.00016521631988685467
"Female speech, woman speaking",0.00016249546521697727
"Inside, large room or hall",0.0001587005362170721
Electric piano,0.00012965460807827755
