synonym,correlation_strength
Oink,0.9449177098771073
"Livestock, farm animals, working animals",0.032670472074361884
"Chuckle, chortle",0.007011626857461281
Snicker,0.0033888082764012783
Giggle,0.002517851083715074
Duck,0.002149673132678057
Quack,0.001581523214769557
"Outside, urban or manmade",0.001503202182714449
Cluck,0.0010808944713761885
Turkey,0.001065768680985216
Laughter,0.0005782822722123284
"Inside, large room or hall",0.0005564765269791604
Goose,0.0005530658441690609
Fowl,5.966523770402507e-05
Bird,5.216095973516264e-05
Music,4.8339107323197176e-05
Gargling,3.392601435242036e-05
Gobble,3.3800013895444726e-05
Speech,3.164396922093512e-05
"Chirp, tweet",2.8317210075463186e-05
Honk,2.25510205488469e-05
"Outside, rural or natural",2.2398865089306964e-05
Dog,2.125965324466106e-05
"Male speech, man speaking",2.0810681131093153e-05
"Chicken, rooster",1.6658948612845836e-05
Animal,1.2111209048597121e-05
"Pigeon, dove",1.1568952672242343e-05
Whistling,2.3702770589799523e-06
Owl,2.2071220126259224e-06
"Domestic animals, pets",1.455118726816692e-06
"Bird vocalization, bird call, bird song",1.1122292000795076e-06
"Inside, small room",9.613158782179323e-07
Whistle,6.886100935263311e-07
Steam whistle,3.970503689365508e-07
"Crowing, cock-a-doodle-doo",1.2192315569775626e-07
Vehicle,1.200159198392439e-07
