synonym,correlation_strength
Roll,0.6042441499803456
Rock and roll,0.11216244101976582
Grunge,0.057573925392287735
Yell,0.050219972375547005
Song,0.03661913267941684
Effects unit,0.01960762163453032
Rock music,0.01886214897659119
Strum,0.015445439988031736
Pop music,0.01177545058622029
Angry music,0.009979880688122613
Ska,0.009255261373163936
"Inside, large room or hall",0.00550369638695048
Acoustic guitar,0.004281007651212763
Cacophony,0.0042149181808019
"Steel guitar, slide guitar",0.0031820098214747562
Theme music,0.0031590973612295125
Heavy metal,0.0027063075409874287
Bellow,0.0022840202117940067
Speech,0.0021067290162510967
Singing,0.001966140935191806
Musical instrument,0.0019272302654741646
Electric guitar,0.001648438195513695
Exciting music,0.0015453985620057836
Music,0.0015116607738975692
Percussion,0.0014209338131167986
Rimshot,0.0012265954886006272
Guitar,0.0012181987352154144
Rhythm and blues,0.001182484233474539
Bass drum,0.001158203226853765
Snare drum,0.001157639431446781
Progressive rock,0.0010862384734440782
Disco,0.0010552560958789743
Funk,0.0009502621646989138
Drum,0.0009127544451045668
Drum kit,0.0008613588019479608
Bass guitar,0.0008358715781769049
Jazz,0.0007690402703824133
Distortion,0.0007311159441058178
Psychedelic rock,0.0006451196949417442
Plucked string instrument,0.0005987977968321593
Background music,0.0005857030626393225
Independent music,0.0005378169702262841
Blues,0.0005356832455864922
Dance music,0.0004482287185349186
Soundtrack music,0.0003006182119835873
