synonym,correlation_strength
Gasp,0.3491050043288974
"Chuckle, chortle",0.16395768643690348
Television,0.12027972441246207
Writing,0.09367953137262741
Music,0.050076369204997875
Sidetone,0.04543848038124139
Laughter,0.03780739149080348
Clicking,0.022291578168266643
Keyboard (musical),0.014033900453645965
"Male speech, man speaking",0.012436479000336122
Clang,0.010259592941471201
"Female speech, woman speaking",0.009696706771571993
"Inside, small room",0.009105215958605186
Speech,0.008300157472569103
Ding,0.008184874919022084
Speech synthesizer,0.007532453898260596
"Burping, eructation",0.006839175424150086
Telephone,0.0065919413775643075
Musical instrument,0.005700137525394649
"Outside, urban or manmade",0.0028808408657739716
New-age music,0.0025223868543092346
Conversation,0.0024320640404320855
"Beep, bleep",0.0016654935162503156
"Inside, large room or hall",0.001509412403629098
Electric piano,0.0014045524677362203
Snicker,0.0013301717221112879
"Narration, monologue",0.0013136152120639434
Dial tone,0.0011577198604273556
"Telephone dialing, DTMF",0.001148027577572763
Piano,0.0009434412406526198
Radio,0.00037587270025011405
