synonym,correlation_strength
Whistle,0.7356551548348768
Steam whistle,0.18475228801447116
"Outside, urban or manmade",0.014719752747799906
"Bird vocalization, bird call, bird song",0.010814859716360984
"Inside, small room",0.01077396910725539
"Outside, rural or natural",0.008163156914424043
"Pigeon, dove",0.006979772230650747
"Chirp, tweet",0.006964779682472281
Music,0.0038114098202743224
Pig,0.0036586332309859644
Bird,0.003537621842932166
Honk,0.002404300647658227
Vehicle,0.0017841841196056174
Goose,0.0009169810818834995
"Inside, large room or hall",0.0007103898114380182
Snicker,0.0006673538262882332
Duck,0.0006302086786654884
"Male speech, man speaking",0.0006249700943146548
"Crowing, cock-a-doodle-doo",0.0006217412185266956
"Livestock, farm animals, working animals",0.0005623417356372991
Animal,0.0003484056747909991
"Chuckle, chortle",0.00022595946756201474
Dog,0.00020785127331301637
Gargling,0.0001209367849548444
Cluck,0.00011172518039521722
Oink,0.00010208890562181382
"Chicken, rooster",0.00010066540981491872
Speech,5.796010293417789e-06
"Domestic animals, pets",4.521593789780856e-06
Giggle,4.142190717141327e-06
Quack,3.6971087332930454e-06
Whistling,3.2244892243767773e-06
Laughter,3.1171730553708765e-06
Owl,2.2342641019286124e-06
Fowl,8.062750576735355e-07
Gobble,5.825839309918651e-07
Turkey,3.7625812183247067e-07
