sound_class,start_time_seconds,end_time_seconds,duration_seconds,peak_probability,average_probability
Music,0.0,30.79,30.79,0.8132697343826294,0.6964102387428284
Singing,0.0,28.48,28.48,0.12623322010040283,0.04145672172307968
Christian music,0.0,1.28,1.28,0.03647738695144653,0.025297872722148895
Music of Asia,0.0,3.2,3.2,0.05081818997859955,0.02821366861462593
Music of Bollywood,0.64,3.2,2.56,0.19006530940532684,0.08197840303182602
Independent music,2.24,3.84,1.6,0.025453250855207443,0.018433239310979843
Rapping,4.48,5.44,0.96,0.02600148878991604,0.01977195031940937
Music of Asia,5.76,8.0,2.24,0.034567005932331085,0.02268979325890541
Music of Bollywood,6.08,8.0,1.92,0.06460195034742355,0.03676356375217438
Independent music,7.68,10.88,3.2,0.03310895338654518,0.017788048833608627
Rhythm and blues,8.0,22.4,14.4,0.057298753410577774,0.02494322508573532
Rapping,8.64,9.92,1.28,0.022083571180701256,0.016578542068600655
Christian music,9.92,12.48,2.56,0.12211666256189346,0.06370126456022263
Happy music,9.92,12.8,2.88,0.03858787566423416,0.02992589958012104
Christmas music,10.24,12.8,2.56,0.1104649230837822,0.06049247086048126
Independent music,11.2,21.76,10.56,0.060973744839429855,0.028724972158670425
Rapping,12.8,14.4,1.6,0.0516037791967392,0.03406723216176033
Christian music,14.4,20.8,6.4,0.08097276091575623,0.04955567792057991
Happy music,14.4,28.48,14.08,0.06214431673288345,0.027755172923207283
Christmas music,14.72,21.12,6.4,0.06057453528046608,0.040209732949733734
Rhythm and blues,23.68,26.88,3.2,0.03760961815714836,0.023220419883728027
Christmas music,26.56,30.79,4.23,0.04615055397152901,0.02872934564948082
Rhythm and blues,27.52,28.8,1.28,0.027823450043797493,0.021400729194283485
Happy music,28.8,30.08,1.28,0.013058837503194809,0.011912483721971512
