Time,"Temp:Acpitz,0","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Composite,0","Temp:Sensor1,0","Temp:Sensor2,0","Temp:Pch_Cannonlake,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7
2026-04-15_11:42:33,88.0,86.0,72.0,77.0,69.0,85.0,49.9,59.9,49.9,58.0,2700.7,2700.2,2700.0,2701.4,2701.5,2699.8,2702.9,2700.0,2700.0,25.2,10.7,48.4,17.9,55.2,19.4,9.7,23.3,16.7
2026-04-15_11:42:35,88.0,85.0,83.0,85.0,79.0,84.0,49.9,60.9,49.9,57.0,2300.0,2299.8,2299.9,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,46.7,32.7,20.8,50.0,59.6,62.4,72.3,49.8,25.9
2026-04-15_11:42:37,88.0,84.0,80.0,84.0,75.0,84.0,49.9,63.9,49.9,59.0,2200.0,2200.2,2200.0,2200.0,2200.0,2200.0,2199.9,2200.0,2199.8,60.3,41.5,67.5,46.5,93.1,78.7,45.5,77.0,32.3
2026-04-15_11:42:39,86.0,85.0,84.0,84.0,78.0,85.0,49.9,61.9,49.9,57.0,2100.1,2100.0,2100.7,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,61.2,46.5,43.8,32.2,59.7,73.3,73.4,94.6,66.5
2026-04-15_11:42:41,86.0,84.0,82.0,77.0,84.0,78.0,48.9,60.9,48.9,58.0,3200.0,3199.9,3200.0,3198.4,3200.2,3200.1,3200.6,3200.0,3200.5,46.0,32.8,27.8,29.9,45.7,66.3,51.5,58.7,55.7
2026-04-15_11:42:43,86.0,81.0,79.0,81.0,74.0,80.0,48.9,62.9,48.9,57.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,55.0,16.6,39.3,27.4,63.5,89.2,70.9,98.0,35.5
2026-04-15_11:42:45,86.0,86.0,84.0,86.0,80.0,84.0,48.9,61.9,48.9,58.0,2100.1,2100.0,2099.9,2100.0,2100.0,2100.0,2100.0,2100.0,2100.6,60.7,34.2,39.2,39.0,56.9,87.7,86.6,76.6,65.3
2026-04-15_11:42:47,86.0,84.0,82.0,84.0,77.0,84.0,48.9,61.9,48.9,58.0,2100.7,2100.0,2100.0,2100.0,2100.3,2105.4,2100.0,2100.0,2100.0,63.6,57.0,56.5,36.7,60.2,69.0,71.8,90.1,67.2
2026-04-15_11:42:49,86.0,98.0,94.0,98.0,93.0,90.0,48.9,61.9,48.9,57.0,2499.9,2500.0,2500.0,2498.7,2500.0,2500.0,2500.0,2500.0,2500.0,44.7,30.7,40.7,22.2,28.8,50.8,47.8,78.0,58.6
2026-04-15_11:42:51,86.0,88.0,86.0,88.0,83.0,87.0,48.9,62.9,48.9,57.0,1975.0,2199.9,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,400.0,60.9,36.5,20.7,47.0,71.3,85.6,99.0,78.7,48.0
2026-04-15_11:42:53,86.0,86.0,85.0,86.0,81.0,86.0,49.9,62.9,49.9,58.0,2100.1,2100.0,2100.2,2100.0,2100.0,2100.0,2100.0,2100.0,2101.0,62.5,58.9,24.0,26.3,75.2,70.1,99.5,100.0,45.8
2026-04-15_11:42:55,86.0,84.0,83.0,84.0,78.0,84.0,48.9,59.9,48.9,59.0,2100.0,2100.0,2100.0,2100.0,2100.0,2099.9,2100.0,2100.0,2099.7,61.2,64.7,53.2,30.7,91.1,52.2,72.6,96.5,28.9
2026-04-15_11:42:57,86.0,87.0,80.0,83.0,76.0,86.0,48.9,62.9,48.9,59.0,2400.0,2400.0,2401.1,2400.0,2400.0,2399.3,2400.0,2400.0,2400.0,42.1,45.0,37.5,21.6,64.4,37.6,51.5,58.8,20.3
